ref,article,requirement,evidence,status,owner,note
R01,Art. 4(1)-(4),"Pay structures allow equal work and work of equal value to be compared, on objective gender-neutral criteria that include skills, effort, responsibility and working conditions","Job evaluation method, scored role grid, agreement with workers' representatives",Partial,Reward,"Grid drafted in this kit; not yet agreed with workers' representatives"
R02,Art. 5(1),"Applicants receive the initial pay or its range, and the relevant collective agreement provisions, before the interview","Vacancy template with pay range field; recruiter guidance",Gap,Talent Acquisition,"Ranges not published in any of the four countries"
R03,Art. 5(2),Applicants are not asked about their pay history,"Interview guides, ATS application form",Partial,Talent Acquisition,"Question removed from the ATS form in PL only"
R04,Art. 5(3),Vacancy notices and job titles are gender-neutral and recruitment is non-discriminatory,"Title audit, vacancy review log",Partial,Talent Acquisition,"Title audit done in IT and PL"
R05,Art. 6(1),"Workers can easily access the criteria that set pay, pay levels and pay progression","Published pay policy and progression framework on the intranet",Gap,Reward,"Progression criteria exist per country but are not published"
R06,Art. 7(1) and 7(4),"Workers can request their own pay level and the average pay by sex for their category, answered in writing within two months","Request procedure, response template, service-level tracking",Gap,HR Operations,"No request route or template yet"
R07,Art. 7(3),Workers are told every year of their right to request that information,"Annual notice, date sent",Gap,HR Operations,
R08,Art. 7(5),No contract term stops workers disclosing their pay for the purpose of equal pay,"Contract template review",Partial,Legal,"Confidentiality clause still in the DE template"
R09,Art. 8,"Information for workers and applicants is accessible to persons with disabilities","Accessibility check of templates and portal",Gap,HR Operations,
R10,Art. 9(1),"The seven reporting items can be produced for each employer from payroll data","Reproducible calculation, reconciled workbook",Ready,People Analytics,"This kit: dry run on 30 June 2026 data"
R11,Art. 9(6),"Management confirms the accuracy of the report after consulting workers' representatives, who can see the method","Sign-off record, method note shared with representatives",Gap,HR Director,
R12,Art. 9(9),"Pay gaps by category of workers are provided to all workers and their representatives","Distribution plan per entity",Gap,HR Operations,
R13,Art. 10,"A process exists to justify or remedy category gaps of 5% or more within six months, and to run a joint pay assessment with workers' representatives if not","Owner, timetable, justification template, budget line",Partial,Reward,"Categories above 5% identified by this screen; justifications not yet written"
R14,Art. 12,"Personal data used for transparency is processed under the GDPR, only for equal pay, with small categories protected","Record of processing, disclosure rule for small categories",Partial,Data Protection,"Small-cell rule proposed in this kit (fewer than 5 of one sex)"
